Wavelength,Excitation,Emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,1.812223747,0
401,1.804245916,0
402,1.825680076,0
403,1.84212846,0
404,1.854337132,0
405,1.868498318,0
406,1.913244183,0
407,1.939747873,0
408,1.963831291,0
409,2.006568945,0
410,2.063585644,0
411,2.117147797,0
412,2.182698352,0
413,2.247958182,0
414,2.335040594,0
415,2.469544224,0
416,2.579281211,0
417,2.679170329,0
418,2.814664893,0
419,2.996635463,0
420,3.184004062,0
421,3.361601519,0
422,3.577897728,0
423,3.775021598,0
424,3.991689121,0
425,4.228721186,0
426,4.4679187,0
427,4.696037804,0
428,5.06256926,0
429,5.365404115,0
430,5.692822294,0
431,6.006092423,0
432,6.36371258,0
433,6.695671992,0
434,7.050258092,0
435,7.456359816,0
436,7.832344628,0
437,8.287743225,0
438,8.742378582,0
439,9.230673721,0
440,9.774242461,0
441,10.34181207,0
442,11.06023542,0
443,11.72673905,0
444,12.48339926,0
445,13.38047067,0
446,14.20328653,0
447,15.20176503,0
448,16.24992355,0
449,17.20666284,0
450,18.23072567,0
451,19.45591653,0
452,20.79215873,0
453,22.1256305,0
454,23.45655447,0
455,24.76124459,0
456,25.99799121,0
457,27.30071224,0
458,28.58540026,0
459,29.92322249,0
460,31.2792319,0
461,32.60699115,0
462,33.88034866,0
463,34.88885746,0
464,35.88146589,0
465,37.11622653,0
466,38.40635009,0
467,39.56191172,0
468,40.55711056,0
469,41.94772109,0
470,43.39974407,0
471,45.03060562,0
472,46.72338073,0
473,48.05833054,0
474,49.83160412,0
475,52.13371272,0
476,54.59563807,0
477,57.48770476,0
478,60.12988686,0
479,63.24972727,0
480,66.40899677,0.590830855
481,69.48222688,0.66498928
482,72.834018,0.841010963
483,76.69283691,1.046902688
484,80.2176153,1.280698762
485,83.83971824,1.590806899
486,87.22764285,1.971089759
487,90.29732331,2.435125069
488,92.81671541,2.958052219
489,95.1585254,3.624340945
490,97.15914172,4.475074521
491,98.88198882,5.445040818
492,99.44845106,6.603655053
493,100,7.970160713
494,99.21008404,9.572035407
495,98.51461555,11.42456451
496,96.38530836,13.67231152
497,93.85724552,16.13063137
498,90.38350445,18.97746751
499,86.47986565,22.03924126
500,82.14807687,25.49471699
501,77.65248827,29.16591176
502,72.79591635,33.11134532
503,67.84434093,37.18934972
504,62.53419418,41.70713626
505,57.30158078,46.40762015
