# Optical absorption spectrum of Sulforhodamine 101 in ethanol
#
# Data from PhotochemCAD 2.1a has been munged on 26 February 2012 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by R.-C. A. Fuh on 06-20-1995 using a Cary 3.  
# The absorption values were collected using a spectral bandwidth of 1.0 nm, a signal averaging time of 0.133 sec, a data interval of 0.25 nm, and a scan rate of 112.5 nm/min.
#
# These measurements were scaled to make the molar extinction coefficient match
# the value of 139000 cm-1/M at 576.0 nm.  These values were 
# then interpolated to report extinction coefficients at regular 1nm intervals
#
# The reported molar extinction coefficient is from
# Birge, R. R. (1987) “Kodak Laser Dyes,”  Kodak publication JJ-169.
#
##Wavelength (nm)	Molar Extinction (cm-1/M) 
219.74	33274
219.99	32776
220.24	33133
220.49	33561
220.74	33211
220.99	33362
221.24	33325
221.49	33085
221.74	33332
221.99	33029
222.24	32928
222.49	33405
222.74	33322
222.99	32874
223.24	33165
223.49	33172
223.74	33158
223.99	33264
224.24	33128
224.49	33271
224.74	33155
224.99	33229
225.24	32964
225.49	33145
225.74	32777
225.99	32701
226.24	32651
226.49	32862
226.74	32679
226.99	32572
227.24	32581
227.49	32692
227.74	32168
227.99	32327
228.24	32091
228.49	32093
228.74	31927
228.99	31870
229.24	31151
229.49	31102
229.74	31299
229.99	31244
230.24	31109
230.49	31115
230.74	30720
230.99	30519
231.24	30305
231.49	30460
231.74	30007
231.99	29716
232.24	29795
232.49	29430
232.74	29500
232.99	29036
233.24	28529
233.49	28472
233.74	28296
233.99	28196
234.24	28169
234.49	27596
234.74	27439
234.99	27137
235.24	26456
235.49	26769
235.74	26433
235.99	26267
236.24	26002
236.49	25584
236.74	25271
236.99	25126
237.24	24860
237.49	24684
237.74	24453
237.99	24346
238.24	24221
238.49	23915
238.74	23691
238.99	23639
239.24	23540
239.49	23462
239.74	23150
239.99	22969
240.24	22763
240.49	22465
240.74	22493
240.99	22377
241.24	22045
241.49	21952
241.74	21792
241.99	21686
242.24	21445
242.49	21131
242.74	21050
242.99	21002
243.24	20970
243.49	20705
243.74	20548
243.99	20500
244.24	20181
244.49	19971
244.74	20119
244.99	19590
245.24	20111
245.49	19657
245.74	19682
245.99	19424
246.24	19437
246.49	19363
246.74	19152
246.99	19052
247.24	19016
247.49	18750
247.74	18490
247.99	18295
248.24	18039
248.49	17857
248.74	17812
248.99	17710
249.24	17748
249.49	17919
249.74	17895
249.99	17966
250.24	17584
250.49	17742
250.74	17732
250.99	17685
251.24	17782
251.49	17945
251.74	17741
251.99	17706
252.24	17764
252.49	17931
252.74	17761
252.99	17934
253.24	18081
253.49	17971
253.74	17849
253.99	17915
254.24	18207
254.49	18331
254.74	18753
254.99	18931
255.24	19287
255.49	19458
255.74	19935
255.99	20292
256.24	20710
256.49	20940
256.74	21053
256.99	21873
257.24	22030
257.49	22188
257.74	22604
257.99	23270
258.24	23393
258.49	23861
258.74	24323
258.99	24704
259.24	24983
259.49	25398
259.74	25730
259.99	26003
260.24	26382
260.49	26885
260.74	27275
260.99	27549
261.24	28117
261.49	28656
261.74	29132
261.99	29586
262.24	30189
262.49	31023
262.74	31319
262.99	31789
263.24	32513
263.49	33139
263.74	33624
263.99	34015
264.24	34360
264.49	34915
264.74	35536
264.99	35781
265.24	36068
265.49	36188
265.74	36429
265.99	36463
266.24	36793
266.49	36856
266.74	36685
266.99	36797
267.24	36653
267.49	36349
267.74	36036
267.99	35451
268.24	35104
268.49	34742
268.74	34127
268.99	33494
269.24	32924
269.49	32343
269.74	31490
269.99	30978
270.24	30376
270.49	29763
270.74	29074
270.99	28400
271.24	27836
271.49	26872
271.74	26018
271.99	25552
272.24	24737
272.49	24434
272.74	23829
272.99	23170
273.24	22906
273.49	22265
273.74	21642
273.99	21132
274.24	20770
274.49	20529
274.74	20193
274.99	19534
275.24	19082
275.49	18957
275.74	18462
275.99	18303
276.24	18035
276.49	17632
276.74	17548
276.99	17293
277.24	16949
277.49	17019
277.74	16528
277.99	16239
278.24	16025
278.49	15952
278.74	15479
278.99	15613
279.24	15671
279.49	15356
279.74	15277
279.99	15212
280.24	15053
280.49	15039
280.74	14869
280.99	14797
281.24	14686
281.49	14727
281.74	14600
281.99	14379
282.24	14544
282.49	14324
282.74	14351
282.99	14084
283.24	14274
283.49	14134
283.74	14244
283.99	14013
284.24	14239
284.49	14040
284.74	14055
284.99	13987
285.24	14177
285.49	14121
285.74	14253
285.99	14325
286.24	14295
286.49	14462
286.74	14405
286.99	14468
287.24	14289
287.49	14396
287.74	14353
287.99	14508
288.24	14415
288.49	14698
288.74	14524
288.99	14556
289.24	14791
289.49	14772
289.74	15173
289.99	15129
290.24	15187
290.49	15304
290.74	15556
290.99	15345
291.24	15492
291.49	15737
291.74	15406
291.99	15673
292.24	15867
292.49	16045
292.74	16061
292.99	16170
293.24	16256
293.49	16387
293.74	16561
293.99	16513
294.24	16494
294.49	16984
294.74	17150
294.99	16773
295.24	17000
295.49	17020
295.74	17097
295.99	17248
296.24	17595
296.49	17336
296.74	17374
296.99	17506
297.24	17407
297.49	17623
297.74	17390
297.99	17379
298.24	17326
298.49	17502
298.74	17278
298.99	17324
299.24	17582
299.49	17315
299.74	17301
299.99	17337
300.24	17429
300.49	17287
300.74	17263
300.99	16886
301.24	16883
301.49	16946
301.74	16804
301.99	16655
302.24	16852
302.49	16551
302.74	16585
302.99	16428
303.24	16351
303.49	16235
303.74	16460
303.99	16468
304.24	16387
304.49	16182
304.74	16499
304.99	16543
305.24	16395
305.49	16206
305.74	16244
305.99	16234
306.24	16118
306.49	16475
306.74	16452
306.99	16510
307.24	16232
307.49	16473
307.74	16704
307.99	16681
308.24	16998
308.49	16877
308.74	17117
