# Emission spectrum of  in ethanol
#
# Data from PhotochemCAD 2.1a has been munged on 26 February 2012 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by  on on 06-20-1995 
# using a Spex FluoroMax.   The excitation and emission monochromators were set at 1 mm, giving a spectral bandwidth of 4.25 nm.  The data interval was 0.5 nm and the integration time was 2.0 sec. Samples were prepared in 1cm pathlength quartz cells with absorbance less than 0.1 at the excitation and all emission wavelengths to uniformly illuminate across the sample, and to avoid the inner-filter effect.  The dark counts were subtracted and the spectra were corrected for wavelength-dependent instrument sensitivity.
#
##Wavelength (nm)	Emission (AU)
560	261067
560.5	287778
561	310654
561.5	347731
562	370579
562.5	410699
563	442601
563.5	495614
564	529872
564.5	577749
565	620782
565.5	688783
566	735287
566.5	800897
567	855794
567.5	944416
568	997611
568.5	1084482
569	1157639
569.5	1271359
570	1335758
570.5	1448913
571	1535004
571.5	1675027
572	1759079
572.5	1884956
573	1996347
573.5	2145490
574	2261068
574.5	2408624
575	2553900
575.5	2722428
576	2831454
576.5	3015238
577	3168992
577.5	3352934
578	3471705
578.5	3651655
579	3803399
579.5	3985346
580	4100344
580.5	4249945
581	4399162
581.5	4561161
582	4678555
582.5	4820745
583	4933071
583.5	5082878
584	5175903
584.5	5288665
585	5384091
585.5	5499962
586	5574869
586.5	5653162
587	5722185
587.5	5792153
588	5833109
588.5	5880330
589	5913301
589.5	5933058
590	5952832
590.5	5955019
591	5967567
591.5	5945425
592	5941473
592.5	5916792
593	5884806
593.5	5831733
594	5800636
594.5	5740202
595	5700303
595.5	5611998
596	5577215
596.5	5497266
597	5424256
597.5	5328319
598	5264647
598.5	5164609
599	5075120
599.5	4951545
600	4886822
600.5	4779861
601	4682895
601.5	4565482
602	4493224
602.5	4377557
603	4294656
603.5	4179276
604	4113615
604.5	4018475
605	3929066
