Wavelength,Excitation,Emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,2.198243,0
401,0.6380945,0
402,0.5742853,0
403,0.636359,0
404,0.5050815,0
405,0.626283,0
406,0.4327999,0
407,0.5526842,0
408,0.4868054,0
409,0.3599565,0
410,0.3568309,0
411,0.1774755,0
412,0.1761397,0
413,0.3506668,0
414,0.1751146,0
415,0.1165493,0
416,0.0579,0
417,0,0
418,0.111727,0
419,0.2212967,0
420,0.3295431,0
421,0.276512,0
422,0.2782655,0
423,0.2793172,0
424,0.391277,0
425,0.391746,0
426,0.3899571,0
427,0.4408568,0
428,0.4397334,0
429,0.3842423,0
430,0.4381047,0
431,0.5978466,0
432,0.5429733,0
433,0.4846459,0
434,0.3196637,0
435,0.4743677,0
436,0.5178423,0
437,0.5613449,0
438,0.3527337,0
439,0.3521018,0
440,0.3027776,0
441,0.4058912,0
442,0.2526318,0
443,0.2523141,0
444,0.2519971,0
445,0.3013145,0
446,0.1492958,0
447,0.0969,0
448,0.2780908,0
449,0.3977697,0
450,0.4313087,0
451,0.3417927,0
452,0.3888366,0
453,0.2216109,0
454,0.3595718,0
455,0.2236584,0
456,0.2201518,0
457,0.3866349,0
458,0.2963187,0
459,0.2488117,0
460,0.3225562,0
461,0.3900891,0
462,0.4175005,0
463,0.373189,0
464,0.4393038,0
465,0.3521776,0
466,0.5628418,0
467,0.6299366,0
468,0.5609658,0
469,0.515927,0
470,0.4091178,0
471,0.3893955,0
472,0.2888038,0
473,0.3302957,0
474,0.2284993,0
475,0.1595373,0
476,0.0844,0
477,0.0432,0
478,0,0
479,0.2870598,0
480,0.275744,0
481,0.4961569,0
482,0.3795441,0
483,0.3447133,0
484,0.4359423,0
485,0.4515534,0
486,0.5066008,0
487,0.645674,0
488,0.6466653,0
489,0.8058738,0
490,0.9763601,0
491,1.181096,0
492,1.499069,0
493,1.631352,0
494,1.841741,0
495,1.792947,0
496,2.004372,0
497,2.144033,0
498,2.340212,0
499,2.672886,0
500,2.756993,0
501,3.140359,0
502,3.354433,0
503,3.55584,0
504,3.798474,0
505,3.939083,0
506,4.171354,0
507,4.217157,0
508,4.496887,0
509,4.805178,0
510,4.923517,0
511,5.166852,0
512,5.117764,0
513,5.48997,0
514,5.782534,0
515,5.803737,0
516,6.365388,0
517,6.336519,0
518,6.558062,0
519,7.036954,0
520,7.267989,0
521,7.792936,0
